director_clean,avg_roi,film_count,proven_director
aaron horvath,416.20593,1,False
aaron seltzer,307.12494000000004,1,False
abby kohn,186.105615625,1,False
abhijit guha,143.388614,1,False
adam carolla,-92.4554,1,False
adam mckay,177.2569633690476,4,True
adam montierth,-98.83466666666666,1,False
adam robitel,1578.85588,1,False
adam shankman,118.37399464285716,2,False
adam wingard,289.85577,1,False
adrian molina,356.00462914285714,1,False
ahsan rahim,-93.41293333333334,1,False
aki kaurismäki,145.09447272727272,1,False
akiva schaffer,-15.129886363636366,2,False
alan poul,115.08908285714286,1,False
alan taylor,254.27101952688173,2,False
albert hughes,96.89070474264706,2,False
alejandro amenábar,-20.87813,1,False
alejandro g. iñárritu,384.0931507407407,2,False
alejandro monteverde,-11.153505,1,False
aleksander bach,134.80800857142856,1,False
aleksandr kott,-92.4708,1,False
alessandro carloni,269.71367285714285,1,False
alex garland,-21.689245454545457,1,False
alex gibney,-94.03906896551723,1,False
alex kendrick,2012.5677500000002,2,False
alex kurtzman,44.54598589743589,2,False
alex proyas,-0.8308885714285714,1,False
alexander payne,287.9920903594771,3,True
alexandre aja,248.584,1,False
alfonso cuarón,530.6351572727273,1,False
alfonso gomez-rejon,15.827250000000001,1,False
alfonso perugini,-90.665625,1,False
ali abbas zafar,563.5434636363636,1,False
alister grierson,263.1903266666667,1,False
allen coulter,253.16325,1,False
allen hughes,48.47646776785714,2,False
amat escalante,-44.7386,1,False
amy heckerling,-99.407425,1,False
anand tucker,71.67852631578947,1,False
andrea arnold,-25.378571428571426,1,False
andrew adamson,12.051447999999999,1,False
andrew dominik,161.58962,1,False
andrew erwin,566.8575791208792,2,False
andrew gurland,-68.1647,1,False
andrew haigh,730.3078947368422,1,False
andrew hyatt,410.58995999999996,1,False
andrew jarecki,-95.631915,1,False
andrew jay cohen,-22.0189375,1,False
andrew mogel,-74.25446666666666,1,False
andrew niccol,200.33983957142857,2,False
andrew smith,253.43553333333335,1,False
andrew stanton,206.71799824999997,2,False
andrew traucki,50.37867,1,False
andrey konchalovskiy,-77.25998222222222,1,False
andy fickman,210.27181022807017,3,True
andy muschietti,1390.0204138095237,2,False
andy tennant,201.79741555555557,1,False
ang lee,417.42666916666667,1,False
angelina jolie,-8.621044358974364,3,False
angelo pizzo,-88.77000000000001,1,False
angus maclane,410.60759649999994,1,False
anna boden,262.3306660714286,2,False
anna kazejak,-98.176,1,False
anne fletcher,16.86335964285714,2,False
anoosh tertzakian,-7.360600000000001,1,False
anthony hemingway,-13.16293448275862,1,False
anthony russo,419.6585234980392,3,True
anthony silverston,39.32147333333334,1,False
anthony stacchi,86.577085,1,False
antoine fuqua,167.89676976623377,5,True
anton corbijn,190.10644083333332,2,False
anurag basu,392.71283152173913,2,False
ari aster,601.33905,1,False
ari sandel,289.32432823529416,2,False
ariel schulman,2350.13938,3,True
ariel vromen,23.08337142857143,1,False
asaf lavi harel,196.92145846153846,1,False
asger leth,18.146285714285714,1,False
ashish r. mohan,162.21005357142857,1,False
aslaug holm,37.35913846153846,1,False
ava duvernay,23.959695145631066,2,False
ayan mukherjee,512.3791084337349,1,False
babak najafi,98.84430249999998,2,False
baltasar kormákur,179.17666164294724,4,True
barry cook,76.13779294117647,1,False
barry jenkins,2157.596929166667,2,False
barry levinson,-77.42564666666667,1,False
barry sonnenfeld,204.2853418604651,1,False
baz luhrmann,84.75811526315789,1,False
ben affleck,218.75690506373272,3,True
ben ducker,196.92145846153846,1,False
ben falcone,224.1508284099617,3,True
ben lewin,1049.5203999999999,1,False
ben stiller,58.569123219780224,2,False
ben younger,-58.725462500000006,1,False
benh zeitlin,1192.5073333333335,1,False
bennett miller,122.60167,1,False
benny boom,21.948566666666665,1,False
benson lee,-16.383115,1,False
bethany ashton wolf,367.88759999999996,1,False
bill condon,305.33485427884614,2,False
bill holderman,811.13683,1,False
bill muir,-78.01472000000001,1,False
