movie_clean,production_budget,worldwide_gross,release_date,main_genre,movie_id,director_clean,profit,roi,release_month,release_year,budget_category,is_low_budget
pirates of the caribbean on stranger tides,410600000,1045663875,2011-05-20,Action,tt1298650,rob marshall,635063875,154.6672856794934,May,2011,high,False
dark phoenix,350000000,149762350,2019-06-07,Action,tt6565702,simon kinberg,-200237650,-57.21075714285714,June,2019,high,False
avengers age of ultron,330600000,1403013963,2015-05-01,Action,tt2395427,joss whedon,1072413963,324.38413883847545,May,2015,high,False
avengers infinity war,300000000,2048134200,2018-04-27,Action,tt4154756,joe russo,1748134200,582.7114,April,2018,high,False
justice league,300000000,655945209,2017-11-17,Action,tt0974015,zack snyder,355945209,118.64840299999999,November,2017,high,False
spectre,300000000,879620923,2015-11-06,Action,tt2379713,sam mendes,579620923,193.20697433333333,November,2015,high,False
the dark knight rises,275000000,1084439099,2012-07-20,Action,tt1345836,christopher nolan,809439099,294.3414905454545,July,2012,high,False
solo a star wars story,275000000,393151347,2018-05-25,Action,tt3778644,ron howard,118151347,42.96412618181818,May,2018,high,False
the lone ranger,275000000,260002115,2013-07-02,Action,tt1210819,gore verbinski,-14997885,-5.453776363636364,July,2013,high,False
john carter,275000000,282778100,2012-03-09,Action,tt0401729,andrew stanton,7778100,2.8284,March,2012,high,False
tangled,260000000,586477240,2010-11-24,Adventure,tt0398286,byron howard,326477240,125.56816923076923,November,2010,high,False
captain america civil war,250000000,1140069413,2016-05-06,Action,tt3498820,joe russo,890069413,356.0277652,May,2016,high,False
batman v superman dawn of justice,250000000,867500281,2016-03-25,Action,tt2975590,zack snyder,617500281,247.0001124,March,2016,high,False
the hobbit an unexpected journey,250000000,1017003568,2012-12-14,Adventure,tt0903624,peter jackson,767003568,306.80142720000003,December,2012,high,False
the hobbit the desolation of smaug,250000000,960366855,2013-12-13,Adventure,tt1170358,peter jackson,710366855,284.14674199999996,December,2013,high,False
the hobbit the battle of the five armies,250000000,945577621,2014-12-17,Adventure,tt2310332,peter jackson,695577621,278.23104839999996,December,2014,high,False
the fate of the furious,250000000,1234846267,2017-04-14,Action,tt4630562,f. gary gray,984846267,393.9385068,April,2017,high,False
pirates of the caribbean dead men tell no tales,230000000,788241137,2017-05-26,Action,tt1790809,joachim rønning,558241137,242.71353782608696,May,2017,high,False
the avengers,225000000,1517935897,2012-05-04,Action,tt0848228,joss whedon,1292935897,574.6381764444444,May,2012,high,False
man of steel,225000000,667999518,2013-06-14,Action,tt0770828,zack snyder,442999518,196.88867466666667,June,2013,high,False
the amazing spiderman,220000000,757890267,2012-07-03,Action,tt0948470,marc webb,537890267,244.4955759090909,July,2012,high,False
battleship,220000000,313477717,2012-05-18,Action,tt1440129,peter berg,93477717,42.48987136363636,May,2012,high,False
transformers the last knight,217000000,602893340,2017-06-21,Action,tt3371366,michael bay,385893340,177.8310322580645,June,2017,high,False
jurassic world,215000000,1648854864,2015-06-12,Action,tt0369610,colin trevorrow,1433854864,666.9092390697674,June,2015,high,False
men in black 3,215000000,654213485,2012-05-25,Action,tt1409024,barry sonnenfeld,439213485,204.2853418604651,May,2012,high,False
transformers age of extinction,210000000,1104039076,2014-06-27,Action,tt2109248,michael bay,894039076,425.7328933333333,June,2014,high,False
robin hood,210000000,322459006,2010-05-14,Action,tt0955308,ridley scott,112459006,53.551907619047626,May,2010,high,False
black panther,200000000,1348258224,2018-02-16,Action,tt1825683,ryan coogler,1148258224,574.129112,February,2018,high,False
incredibles 2,200000000,1242520711,2018-06-15,Action,tt3606756,brad bird,1042520711,521.2603555000001,June,2018,high,False
rogue one a star wars story,200000000,1049102856,2016-12-16,Action,tt3748528,gareth edwards,849102856,424.551428,December,2016,high,False
finding dory,200000000,1021215193,2016-06-17,Adventure,tt2277860,angus maclane,821215193,410.60759649999994,June,2016,high,False
toy story 3,200000000,1068879522,2010-06-18,Adventure,tt0435761,lee unkrich,868879522,434.439761,June,2010,high,False
iron man 3,200000000,1215392272,2013-05-03,Action,tt1300854,shane black,1015392272,507.696136,May,2013,high,False
guardians of the galaxy vol 2,200000000,862316233,2017-05-05,Action,tt3896198,james gunn,662316233,331.1581165,May,2017,high,False
alice in wonderland,200000000,1025491110,2010-03-05,Adventure,tt1014759,tim burton,825491110,412.74555499999997,March,2010,high,False
skyfall,200000000,1110526981,2012-11-08,Action,tt1074638,sam mendes,910526981,455.2634905,November,2012,high,False
monsters university,200000000,743588329,2013-06-21,Adventure,tt1453405,dan scanlon,543588329,271.79416449999997,June,2013,high,False
oz the great and powerful,200000000,490359051,2013-03-08,Adventure,tt1623205,sam raimi,290359051,145.17952549999998,March,2013,high,False
